Citation 1,Citation 2,Conection Type,Text 1,Text 2,Category 1,Category 2
Akeidat Yitzchak 100:1,Berakhot 34a,,Akeidat Yitzchak,Berakhot,Parshanut,Talmud
Akeidat Yitzchak 100:10,Genesis 5:22,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 100:11,Genesis 6:9,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 100:11,Genesis 48:15,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 100:12,Genesis 17:1,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 100:13,Genesis 3:8,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 100:13,Exodus 2:1,,Akeidat Yitzchak,Exodus,Parshanut,Tanach
Akeidat Yitzchak 100:2,Isaiah 57:19,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 100:20,Kiddushin 39a,,Akeidat Yitzchak,Kiddushin,Parshanut,Talmud
Akeidat Yitzchak 100:20,Isaiah 33:15,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 100:21,Kiddushin 40a,,Akeidat Yitzchak,Kiddushin,Parshanut,Talmud
Akeidat Yitzchak 100:22,Genesis 2:12,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 100:22,Berakhot 62a,,Akeidat Yitzchak,Berakhot,Parshanut,Talmud
Akeidat Yitzchak 100:25,Kiddushin 39a,,Akeidat Yitzchak,Kiddushin,Parshanut,Talmud
Akeidat Yitzchak 100:26,Psalms 15:4,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 100:31,Deuteronomy 29:9,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 100:37,Deuteronomy 4:29,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 100:38,Isaiah 55:6,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 100:39,Isaiah 46:2,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 100:8,Genesis 2:7,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 101:11,Deuteronomy 6:24,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 101:13,Numbers 19:14,,Akeidat Yitzchak,Numbers,Parshanut,Tanach
Akeidat Yitzchak 101:14,Genesis 14,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 101:2,Nedarim 39a,,Akeidat Yitzchak,Nedarim,Parshanut,Talmud
Akeidat Yitzchak 101:2,Proverbs 8:22,,Akeidat Yitzchak,Proverbs,Parshanut,Tanach
Akeidat Yitzchak 101:2,Psalms 90:3,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 101:2,Genesis 2:8,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 101:22,Isaiah 66:3,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 101:25,II Kings 4:7,,Akeidat Yitzchak,II Kings,Parshanut,Tanach
Akeidat Yitzchak 101:25,Ecclesiastes 9:9,,Akeidat Yitzchak,Ecclesiastes,Parshanut,Tanach
Akeidat Yitzchak 101:26,Leviticus 18:5,,Akeidat Yitzchak,Leviticus,Parshanut,Tanach
Akeidat Yitzchak 101:27,Numbers 24:14,,Akeidat Yitzchak,Numbers,Parshanut,Tanach
Akeidat Yitzchak 101:3,Isaiah 30:33,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 101:3,Psalms 93:2,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 101:3,Jeremiah 17:22,,Akeidat Yitzchak,Jeremiah,Parshanut,Tanach
Akeidat Yitzchak 101:3,Psalms 72:17,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 101:7,Psalms 27:13,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 101:8,Psalms 116:15,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 102:1,Chagigah 3a,,Akeidat Yitzchak,Chagigah,Parshanut,Talmud
Akeidat Yitzchak 102:8,Leviticus 25,,Akeidat Yitzchak,Leviticus,Parshanut,Tanach
Akeidat Yitzchak 103:11,Isaiah 51:2,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 103:13,Psalms 36:8,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 103:14,II Chronicles 16:12,,Akeidat Yitzchak,II Chronicles,Parshanut,Tanach
Akeidat Yitzchak 103:18,Psalms 139:9,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 103:24,Deuteronomy 6:22,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 103:26,Ezekiel 1:8,,Akeidat Yitzchak,Ezekiel,Parshanut,Tanach
Akeidat Yitzchak 103:3,Job 20:27,,Akeidat Yitzchak,Job,Parshanut,Tanach
Akeidat Yitzchak 103:3,Psalms 50:6,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 103:32,I Samuel 26,,Akeidat Yitzchak,I Samuel,Parshanut,Tanach
Akeidat Yitzchak 103:33,Isaiah 1:2,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 103:49,Deuteronomy 4:25,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 103:8,Psalms 92:13,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 104:26,Avodah Zarah 2a,,Akeidat Yitzchak,Avodah Zarah,Parshanut,Talmud
Akeidat Yitzchak 104:31,Genesis 49:28,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 104:8,Shabbat 88a,,Akeidat Yitzchak,Shabbat,Parshanut,Talmud
Akeidat Yitzchak 104:9,Job 26:9,,Akeidat Yitzchak,Job,Parshanut,Tanach
Akeidat Yitzchak 105:10,Ecclesiastes 1,,Akeidat Yitzchak,Ecclesiastes,Parshanut,Tanach
Akeidat Yitzchak 105:12,Berakhot 8a,,Akeidat Yitzchak,Berakhot,Parshanut,Talmud
Akeidat Yitzchak 105:2,Deuteronomy 34:6,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 105:25,Moed Katan 26a,,Akeidat Yitzchak,Moed Katan,Parshanut,Talmud
Akeidat Yitzchak 105:27,Deuteronomy 34:4,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 105:3,II Kings 2,,Akeidat Yitzchak,II Kings,Parshanut,Tanach
Akeidat Yitzchak 105:30,Deuteronomy 33:29,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 105:32,Ecclesiastes 7:1,,Akeidat Yitzchak,Ecclesiastes,Parshanut,Tanach
Akeidat Yitzchak 105:35,Psalms 119:96,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 105:41,Ecclesiastes 1:2,,Akeidat Yitzchak,Ecclesiastes,Parshanut,Tanach
Akeidat Yitzchak 105:7,Deuteronomy 34:6,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 105:9,Ecclesiastes 12:7,,Akeidat Yitzchak,Ecclesiastes,Parshanut,Tanach
Akeidat Yitzchak 10:14,II Samuel 14:17,,Akeidat Yitzchak,II Samuel,Parshanut,Tanach
Akeidat Yitzchak 10:2,Bemidbar Rabbah 19,,Akeidat Yitzchak,Bemidbar Rabbah,Parshanut,Midrash
Akeidat Yitzchak 10:21,Genesis 3:5,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 10:22,II Samuel 14:17,,Akeidat Yitzchak,II Samuel,Parshanut,Tanach
Akeidat Yitzchak 10:26,Genesis 32:31,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 10:27,Numbers 22,,Akeidat Yitzchak,Numbers,Parshanut,Tanach
Akeidat Yitzchak 10:3,Psalms 8:5,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 10:3,Isaiah 42:8,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 11:11,Ecclesiastes 4:9,,Akeidat Yitzchak,Ecclesiastes,Parshanut,Tanach
Akeidat Yitzchak 11:2,Bereishit Rabbah 22,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 11:23,Psalms 78:71,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
